Year,Team1,Team2,Conference,Highest.Seed,Round
2017,Anaheim Ducks,Calgary Flames,western,Anaheim Ducks,quarter-finals
2017,Edmonton Oilers,San Jose Sharks,western,Edmonton Oilers,quarter-finals
2017,New York Rangers,Montreal Canadiens,eastern,Montreal Canadiens,quarter-finals
2017,Ottawa Senators,Boston Bruins,eastern,Ottawa Senators,quarter-finals
2017,Washington Capitals,Toronto Maple Leafs,eastern,Washington Capitals,quarter-finals
2017,Pittsburgh Penguins,Columbus Blue Jackets,eastern,Pittsburgh Penguins,quarter-finals
2017,Pittsburgh Penguins,Washington Capitals,eastern,Washington Capitals,semi-finals
2017,Ottawa Senators,New York Rangers,eastern,Ottawa Senators,semi-finals
2017,Anaheim Ducks,Edmonton Oilers,western,Anaheim Ducks,semi-finals
2017,Nashville Predators,St Louis Blues,western,St Louis Blues,semi-finals
2017,Pittsburgh Penguins,Ottawa Senators,eastern,Pittsburgh Penguins,finals
2017,Nashville Predators,Anaheim Ducks,western,Anaheim Ducks,finals
2017,Pittsburgh Penguins,Nashville Predators,N/A,Pittsburgh Penguins,stanley-cup-final
2018,Nashville Predators,Colorado Avalanche,western,Nashville Predators,quarter-finals
2018,Vegas Golden Knights,Los Angeles Kings,western,Vegas Golden Knights,quarter-finals
2018,Winnipeg Jets,Minnesota Wild,western,Winnipeg Jets,quarter-finals
2018,San Jose Sharks,Anaheim Ducks,western,Anaheim Ducks,quarter-finals
2018,Tampa Bay Lightning,New Jersey Devils,eastern,Tampa Bay Lightning,quarter-finals
2018,Washington Capitals,Columbus Blue Jackets,eastern,Washington Capitals,quarter-finals
2018,Boston Bruins,Toronto Maple Leafs,eastern,Boston Bruins,quarter-finals
2018,Pittsburgh Penguins,Philadelphia Flyers,eastern,Pittsburgh Penguins,quarter-finals
2018,Washington Capitals,Pittsburgh Penguins,eastern,Washington Capitals,semi-finals
2018,Tampa Bay Lightning,Boston Bruins,eastern,Tampa Bay Lightning,semi-finals
2018,Vegas Golden Knights,San Jose Sharks,western,Vegas Golden Knights,semi-finals
2018,Winnipeg Jets,Nashville Predators,western,Nashville Predators,semi-finals
2018,Washington Capitals,Tampa Bay Lightning,eastern,Tampa Bay Lightning,finals
2018,Vegas Golden Knights,Winnipeg Jets,western,Winnipeg Jets,finals
2018,Washington Capitals,Vegas Golden Knights,N/A,Vegas Golden Knights,stanley-cup-final
