"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Aaron Gagnon","9-10","DAL","C","2","15.1","--","--","--","--","--","--","0.44","1.75","20","16","4","55.56","-1.25","--","--","--","0.71","0.3","0.41","70.3","16.05","--","--","--","4","15.89","0.21","0.83","--","100","58.33","14.77","26.04","46.71","27.13","49.26"
"Aaron Johnson","9-10","CGY/ EDM","D","41","538.08","2","4","6","5","0.67","0.56","1.98","0.22","465","548","-83","45.9","-0.82","18","25","-7","19.2","23.01","-3.81","45.49","-0.46","11","5","-6","70","7.81","1.55","0.17","6.9","98.44","44.85","28.86","26.44","46.68","28.36","49.28"
"Aaron Rome","9-10","VAN","D","49","644.38","--","4","4","1","0.37","0.09","5.88","0.55","580","577","3","50.13","-1.39","22","30","-8","22.33","24.42","-2.09","47.76","-2.51","9","4","-5","102","9.5","1.59","0.15","--","97.48","42.9","29.43","28.13","51.63","28.82","49.45"
"Aaron Voros","9-10","NYR","L","41","247.82","2","3","5","5","1.21","1.21","1.62","0.39","185","249","-64","42.63","-8.09","7","10","-3","6.96","10.22","-3.26","40.51","-10.31","22","17","-5","36","8.72","1.51","0.37","9.52","99.6","49.5","13.31","27.22","49.01","27.78","48.82"
"Aaron Ward","9-10","CAR/ ANA","D","76","1087.62","1","9","10","2","0.55","0.11","4.55","0.25","958","1058","-100","47.52","-2.62","39","56","-17","37.57","47.44","-9.87","44.19","-5.17","21","9","-12","102","5.63","1.51","0.08","2.94","97.95","49.54","31.64","28.02","49.1","28.76","49.28"
"Adam Burish","9-10","CHI","R","13","112.12","1","3","4","3","2.14","1.61","4","2.14","104","111","-7","48.37","-9.26","6","4","2","4.94","4.89","0.05","50.25","-8.24","4","6","2","19","10.17","1.18","0.63","11.11","103.17","52.94","18.49","27.72","54.64","27.97","48.96"
"Adam Foote","9-10","COL","D","67","1058","--","5","5","2","0.28","0.11","-5.03","-0.29","836","1088","-252","43.45","-2.33","47","45","2","35.54","44.31","-8.77","44.51","-4.58","18","9","-9","73","4.14","1.25","0.07","--","102.5","48.58","34.01","28.1","45.53","29.28","50.17"
"Adam Mair","9-10","BUF","C","69","608.8","5","7","12","9","1.18","0.89","13.3","1.31","519","500","19","50.93","1.4","20","22","-2","20.2","20.42","-0.22","49.73","0.11","19","12","-7","102","10.05","5.31","0.52","7.69","99.43","50","19.2","28.11","49.79","27.96","49.85"
"Adam Mcquaid","9-10","BOS","D","19","191.28","1","--","1","1","0.31","0.31","0.95","0.3","161","166","-5","49.24","-1.82","4","10","-6","6.28","6.24","0.04","50.16","-0.66","6","5","-1","25","7.84","0.5","0.16","10","94.84","55.91","21","26.73","52.17","27.31","49.34"
"Adam Pardy","9-10","CGY","D","57","809.45","2","5","7","6","0.52","0.44","15.35","1.14","807","665","142","54.82","3.1","25","29","-4","28.8","24.13","4.67","54.41","5.42","20","12","-8","94","6.97","1.36","0.1","5.56","97.25","55.97","30.41","26.88","50.72","28.23","49.2"
"Adrian Aucoin","9-10","ARI","D","82","1270.12","5","7","12","5","0.57","0.24","25.27","1.19","1174","991","183","54.23","3.33","43","39","4","44.12","40.96","3.16","51.86","0.1","15","6","-9","197","9.31","4.02","0.19","5.49","100.03","50.39","34.35","27.44","50.63","29.12","49.69"
"Alec Martinez","9-10","L.A","D","4","58.63","--","--","--","--","--","--","1.07","1.1","56","40","16","58.33","9.42","1","3","-2","2.69","1.34","1.35","66.75","17.07","1","--","-1","8","8.19","0.32","0.33","--","90.83","43.75","31.38","26.6","49.63","27.58","51.47"
"Ales Hemsky","9-10","EDM","R","22","283.4","3","10","13","8","2.75","1.69","13.3","2.82","255","253","2","50.2","9.99","16","9","7","12.72","10.78","1.94","54.13","12.6","4","6","2","61","12.91","3.45","0.73","7.89","105.2","41.98","28.4","30.41","45.51","30.28","50.15"
"Ales Kotalik","9-10","NYR/ CGY","R","71","758.53","6","4","10","7","0.79","0.55","15.95","1.26","694","653","41","51.52","0.7","23","33","-10","29.13","28.93","0.2","50.17","-0.18","19","8","-11","205","16.22","8.66","0.69","4.92","96.72","50.87","23.15","29.92","50.65","28.89","49.85"
"Alex Bolduc","9-10","VAN","C","15","116.47","--","--","--","--","--","--","-0.54","-0.28","78","105","-27","42.62","-9.56","1","4","-3","2.73","3.13","-0.4","46.59","-4.06","3","2","-1","17","8.76","0.95","0.49","--","94.86","42.86","17.81","28.28","49.52","28.63","50.21"
"Alex Burrows","9-10","VAN","L","82","1070.47","19","20","39","31","2.19","1.74","52.92","2.97","1089","902","187","54.7","4.33","60","38","22","49.45","38.34","11.11","56.33","7.15","34","31","-3","250","14.01","14.43","0.81","11.66","102.99","57.21","29.16","32.04","52.73","29.98","49.53"
"Alex Edler","9-10","VAN","D","76","1206.67","2","18","20","10","0.99","0.5","26.32","1.31","1134","1078","56","51.27","-0.61","45","45","--","43.6","43.03","0.57","50.33","-1.54","15","8","-7","219","10.89","3.98","0.2","1.98","99.62","53.57","35.41","27.88","51.64","29.25","49.54"
"Alexei Ponikarovsky","9-10","TOR/ PIT","L","77","976.28","16","21","37","31","2.27","1.91","52.97","3.26","1118","817","301","57.78","5.09","52","48","4","47.46","29.24","18.22","61.88","9.17","20","10","-10","259","15.92","13.36","0.82","10.67","97.65","54.08","27.52","31.43","52.11","29.41","49.83"
"Alex Frolov","9-10","L.A","L","81","1119.97","10","19","29","23","1.55","1.23","35.77","1.92","994","873","121","53.24","3.43","43","46","-3","41.01","38.25","2.76","51.74","0.94","9","11","2","212","11.36","11.94","0.64","7.94","98.07","52.24","30.13","30.33","48.34","29.37","50.09"
"Alex Giroux","9-10","WSH","L","9","78.18","1","2","3","1","2.3","0.77","2.62","2.01","75","89","-14","45.73","-5.88","6","3","3","3.37","5.01","-1.64","40.21","-8.56","2","3","1","18","13.81","0.75","0.58","9.09","108.75","40.74","20.22","29.19","52.67","28.83","48.33"
"Alex Goligoski","9-10","PIT","D","68","1015.7","5","13","18","12","1.06","0.71","26.15","1.54","1028","949","79","52","0.07","51","42","9","41.97","38.02","3.95","52.47","-0.77","7","12","5","143","8.45","2.94","0.17","8.06","100.33","52.18","33.49","27.62","51.55","28.72","49.85"
"Alex Kovalev","9-10","OTT","R","77","1075.33","12","19","31","26","1.73","1.45","32.33","1.8","995","961","34","50.87","-2.21","46","54","-8","39.88","39.12","0.76","50.48","-3.98","18","21","3","240","13.39","11.85","0.66","10.08","98","52.71","30.11","29.64","51.39","29.36","49.73"
"Alex Ovechkin","9-10","WSH","L","72","1125.45","32","33","65","56","3.47","2.99","89.54","4.77","1330","967","363","57.9","7.67","79","34","45","51.23","40.64","10.59","55.76","7.37","22","21","-1","523","27.88","17.63","0.94","13.01","105.18","55.93","33.81","31.39","50.5","29.88","49.65"
"Alex Picard","9-10","OTT/ CBJ/ CAR","D/L","63","852.37","3","6","9","4","0.63","0.28","11.85","0.83","762","750","12","50.4","-0.23","37","43","-6","32.39","29.46","2.93","52.37","0.3","14","5","-9","118","8.31","3.6","0.25","4.84","97.25","55.83","28.8","26.97","51.24","28.35","49.81"
"Alex Pietrangelo","9-10","STL","D","9","109.82","1","--","1","1","0.55","0.55","0.08","0.04","104","108","-4","49.06","-2.65","2","10","-8","3.86","5.73","-1.87","40.25","-11.76","2","1","-1","16","8.74","0.21","0.11","14.29","87.51","53.23","28.99","27.54","50.71","28.03","49.28"
"Alex Plante","9-10","EDM","D","4","53.98","--","1","1","--","1.11","--","0.25","0.28","42","59","-17","41.58","5.08","2","1","1","1.54","1.9","-0.36","44.77","8.72","1","1","--","8","8.89","0.17","0.19","--","106.68","46.15","28.9","26.14","42.94","28.62","47.76"
"Alex Semin","9-10","WSH","L/R","73","1015.07","29","23","52","44","3.07","2.6","65.96","3.9","1151","976","175","54.11","1.57","71","38","33","46.01","40.84","5.17","52.98","0.89","26","24","-2","382","22.58","14.64","0.87","14.5","104.7","53.68","29.94","30.79","52.68","29.41","49.54"
"Alex Steen","9-10","STL","C","68","802.45","14","14","28","23","2.09","1.72","31.81","2.38","679","680","-1","49.96","-1.58","37","28","9","26.84","28.6","-1.76","48.41","-1.88","13","18","5","208","15.55","8.89","0.66","11.67","102.36","46.89","26.19","29.84","49.66","29.24","50.24"
"Alex Sulzer","9-10","NSH","D","20","245.03","--","1","1","1","0.24","0.24","3.92","0.96","228","214","14","51.58","0.23","8","4","4","8.78","9.25","-0.47","48.7","-2.24","2","3","1","33","8.08","0.42","0.1","--","102.9","52.17","26.96","26.11","50.6","27.84","49.7"
"Alex Tanguay","9-10","T.B","L","80","1008.88","6","20","26","17","1.55","1.01","22.05","1.31","895","920","-25","49.31","2.54","43","45","-2","37.41","41.03","-3.62","47.69","0.75","8","5","-3","146","8.68","7.2","0.43","7.89","100.49","56.06","28.24","29.67","46.88","29.16","49.72"
"Anders Eriksson","9-10","ARI/ NYR","D","20","244.93","--","2","2","1","0.49","0.24","1.32","0.32","201","234","-33","46.21","-3.23","10","7","3","8.69","10.27","-1.58","45.83","-4.3","1","--","-1","21","5.14","0.44","0.11","--","103.19","51.67","27.65","27.01","51.26","28.09","49.42"
"Andreas Lilja","9-10","DET","D","20","243.62","1","1","2","2","0.49","0.49","3.2","0.79","194","189","5","50.65","-6.78","8","11","-3","7.48","7.74","-0.26","49.15","-7.49","2","2","--","30","7.39","0.86","0.21","5.56","97.56","63.36","25.3","26.54","53.7","27.36","49.19"
"Andreas Nodl","9-10","PHI","R","10","78.27","--","1","1","--","0.77","--","1.55","1.19","71","52","19","57.72","3.89","2","4","-2","2.46","2.61","-0.15","48.52","-0.15","--","1","1","9","6.9","0.3","0.23","--","94.12","45.16","17.99","26.42","49.5","27.69","48.11"
"Andreas Thuresson","9-10","NSH","R","22","208.02","1","2","3","1","0.87","0.29","4.71","1.36","192","170","22","53.04","1.35","3","7","-4","6.96","8.31","-1.35","45.58","-7.51","2","1","-1","47","13.56","1.74","0.5","3.33","96.12","53.57","19.83","29.02","50.44","28.4","49.81"
"Andre Deveaux","9-10","TOR","C","1","4.7","--","--","--","--","--","--","0.08","1.02","4","4","--","50","-12.22","--","--","--","0.05","0.12","-0.07","29.41","-37.58","--","--","--","1","12.77","0.02","0.26","--","100","50","13.92","26.81","50.32","27.28","50.51"
"Andrei Kostitsyn","9-10","MTL","L","59","781.27","8","15","23","21","1.77","1.61","22.84","1.75","672","731","-59","47.9","0.96","30","25","5","24.33","28.23","-3.9","46.29","0.15","9","12","3","193","14.82","7.67","0.59","7.92","102.14","44.94","28.3","30.53","46.39","29.49","50.07"
"Andrei Loktionov","9-10","L.A","C","1","11.37","--","--","--","--","--","--","0.09","0.47","11","8","3","57.89","-1.83","--","--","--","0.42","0.54","-0.12","43.75","-13.31","--","--","--","1","5.28","--","--","--","100","85.71","25.21","31.45","50.32","29.7","46.72"
"Andrei Markov","9-10","MTL","D","45","758.08","1","14","15","7","1.19","0.55","13.75","1.09","718","774","-56","48.12","2.2","39","25","14","30.84","33.5","-2.66","47.93","1.05","13","11","-2","99","7.84","2.31","0.18","2.27","104.25","51.71","35.64","27.95","46.21","29.54","49.79"
"Andrej Meszaros","9-10","T.B","D","81","1213.08","3","5","8","5","0.4","0.25","9.4","0.46","1017","1084","-67","48.41","1.18","36","48","-12","40.58","45.11","-4.53","47.36","0.81","15","5","-10","186","9.2","3.82","0.19","3.26","98.68","48.9","33.31","27.42","47.11","28.98","49.79"
"Andrej Sekera","9-10","BUF","D","49","715.73","4","5","9","6","0.75","0.5","10.84","0.91","654","668","-14","49.47","0.32","28","30","-2","27.54","28.93","-1.39","48.77","0.06","3","6","3","84","7.04","1.91","0.16","9.09","100.08","53.28","32.16","27.25","50.41","28.64","50.09"
"Andrew Alberts","9-10","CAR/ VAN","D","75","977.33","2","9","11","7","0.68","0.43","14.87","0.91","901","845","56","51.6","1.45","47","43","4","37.33","38.34","-1.01","49.33","1.24","27","12","-15","116","7.12","2.05","0.13","4.88","100.75","47.95","29.36","26.99","49.01","28.64","49.23"
"Andrew Bodnarchuk","9-10","BOS","D","5","34.62","--","--","--","--","--","--","-0.7","-1.21","30","38","-8","44.12","-10.2","1","3","-2","0.93","1.61","-0.68","36.61","-18.76","1","--","-1","4","6.93","0.02","0.03","--","92.86","50","14.65","25.58","51.17","27.37","51.98"
"Andrew Brunette","9-10","MIN","L","82","1080.25","12","21","33","24","1.83","1.33","32.28","1.79","935","880","55","51.52","5.15","46","43","3","35.77","33.54","2.23","51.61","3.09","4","7","3","117","6.5","8.53","0.47","16.67","100.91","53.13","28.83","31.04","45.84","29.81","49.88"
"Andrew Cogliano","9-10","EDM","C","82","985.68","9","14","23","18","1.4","1.1","17.95","1.09","883","1053","-170","45.61","0.9","41","45","-4","33.89","43.48","-9.59","43.8","-2.98","12","20","8","211","12.84","9.86","0.6","7.32","100.63","48.5","25.89","29.03","44.11","28.57","49.99"
"Andrew Ebbett","9-10","ANA/ CHI/ MIN","C","61","640.7","6","3","9","9","0.84","0.84","10.01","0.94","551","608","-57","47.54","-1.26","17","24","-7","20.78","22.77","-1.99","47.72","-4.12","3","12","9","119","11.14","5.28","0.49","9.38","98.53","44.44","22.78","29.07","49.21","28.56","49.58"
"Andrew Ference","9-10","BOS","D","51","824.98","--","7","7","3","0.51","0.22","11.22","0.82","734","700","34","51.19","-2.27","25","32","-7","27.1","26.28","0.82","50.77","-3.1","6","8","2","116","8.44","2.09","0.15","--","98","47.41","34.2","26.84","52.46","28.71","49.35"
"Andrew Gordon","9-10","WSH","R","2","13.37","--","--","--","--","--","--","-0.5","-2.24","11","16","-5","40.74","0.28","1","3","-2","0.39","0.87","-0.48","30.95","-9.46","--","--","--","--","--","--","--","--","80.95","54.55","13.84","27.59","51.04","28","53.1"
"Andrew Ladd","9-10","CHI","L","82","1039.8","17","18","35","25","2.02","1.44","47.88","2.76","1036","806","230","56.24","-0.43","52","51","1","43.09","34.02","9.07","55.88","-1.48","13","14","1","238","13.73","12.71","0.73","11.97","97.09","56.49","26.79","30.55","54.92","29.08","49.8"
"Andrew Macdonald","9-10","NYI","D","45","723.48","--","6","6","3","0.5","0.25","6.38","0.53","620","681","-61","47.66","-1.54","26","23","3","25.38","27.07","-1.69","48.39","-0.51","6","2","-4","74","6.14","1.78","0.15","--","101.23","49.46","34.92","28.13","48.43","29.38","50.06"
"Andrew Murray","9-10","CBJ","C","45","411.73","5","1","6","6","0.87","0.87","10.54","1.54","331","302","29","52.29","5.94","6","13","-7","13.61","11.77","1.84","53.62","8.14","1","4","3","92","13.41","4.86","0.71","7.46","94.95","41.85","19.88","28.4","47.17","28.48","50.4"
"Andrew Peters","9-10","N.J","L","29","149.63","--","--","--","--","--","--","-1.73","-0.69","91","115","-24","44.17","-6.82","1","6","-5","3.65","4.29","-0.64","45.97","-4.71","19","12","-7","22","8.82","0.87","0.35","--","92.82","63.64","10.86","25.95","50.19","26.5","49.48"
"Andy Greene","9-10","N.J","D","78","1407.47","2","15","17","11","0.72","0.47","25.52","1.09","1191","1149","42","50.9","0.21","48","37","11","44.77","47.55","-2.78","48.49","-4.5","4","9","5","141","6.01","2.66","0.11","3.64","101.23","59.3","37.49","27.96","50.84","29.17","49.99"
"Andy Hilbert","9-10","MIN","C","4","32.23","--","--","--","--","--","--","-0.62","-1.15","27","40","-13","40.3","-6.34","--","2","-2","0.94","1.92","-0.98","32.87","-15.96","1","1","--","6","11.17","0.15","0.28","--","88.89","37.5","21.73","29.26","46.72","28.47","48.35"
"Andy Mcdonald","9-10","STL","C","79","1011.92","14","17","31","22","1.84","1.3","35.34","2.1","931","886","45","51.24","0.94","41","46","-5","39.04","39.99","-0.95","49.4","-0.03","8","15","7","213","12.63","10.75","0.64","10.14","98.99","53.81","28.62","29.89","50.98","29.27","49.87"
"Andy Sutton","9-10","NYI/ OTT","D","71","1159.95","5","8","13","8","0.67","0.41","8.95","0.46","1046","1193","-147","46.72","-3.3","41","49","-8","46.31","44.69","1.62","50.89","0.85","31","8","-23","127","6.57","3.59","0.19","7.81","98.41","48.22","36.05","27.88","49.43","29.43","49.76"
"Andy Wozniewski","9-10","BOS","D","2","16.78","--","--","--","--","--","--","-0.12","-0.43","12","17","-5","41.38","-7.35","1","1","--","0.66","0.93","-0.27","41.51","0.33","--","--","--","5","17.88","0.02","0.07","--","105.56","75","17.08","26.52","52.14","27.82","54.3"
"Anssi Salmela","9-10","ATL/ N.J","D","38","478.9","1","4","5","3","0.63","0.38","6.4","0.8","440","426","14","50.81","2.45","21","23","-2","18.7","20.86","-2.16","47.27","0.75","9","1","-8","69","8.64","1.34","0.17","2.78","99.59","54.98","27.73","26.85","49.43","28.29","49.34"
"Antoine Vermette","9-10","CBJ","C","81","1125.12","13","28","41","29","2.19","1.55","32.54","1.74","936","1026","-90","47.71","-0.35","51","55","-4","38.85","40.9","-2.05","48.71","0.83","10","5","-5","184","9.81","11.87","0.63","11.21","100.2","44.86","30.27","30.96","48.58","29.98","50.46"
"Anton Klementyev","9-10","NYI","D","1","6.33","--","--","--","--","--","--","0.1","0.95","4","2","2","66.67","16.67","--","--","--","0.22","0.11","0.11","66.67","4.92","--","--","--","--","--","--","--","--","100","100","11.79","27.75","47.22","27.63","48.72"
"Anton Stralman","9-10","CBJ","D","73","1114.05","1","9","10","4","0.54","0.22","12.43","0.67","884","855","29","50.83","4.36","35","48","-13","35.92","35.43","0.49","50.34","2.48","12","10","-2","122","6.57","2.46","0.13","1.54","97.23","50.6","33.14","28.04","47.06","28.96","50.35"
"Anton Volchenkov","9-10","OTT","D","64","1035.4","4","8","12","7","0.7","0.41","17.07","0.99","930","911","19","50.52","-3.04","43","47","-4","40.83","37.41","3.42","52.19","-2.47","14","8","-6","148","8.58","2.96","0.17","6.56","99.23","47.55","34.98","28.45","51.6","29.97","50.06"
"Antti Miettinen","9-10","MIN","R","79","1003.1","14","13","27","26","1.61","1.56","32.48","1.94","882","820","62","51.82","6","45","41","4","33.37","31.88","1.49","51.14","2.75","15","8","-7","256","15.31","9.58","0.57","11.02","101.05","52.96","27.81","31.07","47.24","29.73","50.03"
"Anze Kopitar","9-10","L.A","C","82","1230.57","18","18","36","25","1.76","1.22","49.02","2.39","1212","1034","178","53.96","4.99","49","45","4","50.21","41.65","8.56","54.66","5.54","7","12","5","293","14.29","14.8","0.72","10.53","99.08","51.79","32.73","31.1","49.48","30.09","50.11"
"Arron Asham","9-10","PHI","R","72","697.03","10","14","24","20","2.07","1.72","24.93","2.15","655","629","26","51.01","0.15","31","31","--","30.25","27.1","3.15","52.75","1.09","36","34","-2","150","12.91","8.44","0.73","11.49","98.54","51.97","21.73","29.04","49.84","28.32","49.63"
"Artem Anisimov","9-10","NYR","C","82","911.6","11","15","26","17","1.71","1.12","29.84","1.96","858","786","72","52.19","3.23","36","36","--","34.7","32.68","2.02","51.5","2.8","12","11","-1","204","13.43","9.38","0.62","10.58","99.74","52.01","24.31","28.94","49.69","28.56","49.69"
"Arturs Kulda","9-10","ATL","D","4","41.35","--","2","2","1","2.9","1.45","0.82","1.19","40","61","-21","39.6","-5.58","3","2","1","1.37","2.56","-1.19","34.86","-5.83","1","--","-1","7","10.16","0.1","0.15","--","108.51","58.33","23.99","27.42","48.68","28.2","52.25"
"Barret Jackman","9-10","STL","D","66","1150.45","--","12","12","7","0.63","0.37","13.3","0.69","1006","1022","-16","49.61","-1.74","45","45","--","40.17","44.64","-4.47","47.36","-4.32","25","14","-11","144","7.51","2.07","0.11","--","100.33","39.76","38.63","28.43","50.36","29.84","50.4"
"Ben Eager","9-10","CHI","L","60","494.5","7","9","16","11","1.94","1.33","20.24","2.46","465","375","90","55.36","-1.06","23","14","9","18.92","15.97","2.95","54.23","-2.66","35","23","-12","112","13.59","5.67","0.69","10.29","101.16","69.91","17.07","26.73","54.46","27.16","48.97"
"Ben Guite","9-10","NSH","R","6","42.1","--","--","--","--","--","--","-1.25","-1.78","22","44","-22","33.33","-20.66","--","3","-3","0.97","2.29","-1.32","29.75","-23.15","2","1","-1","8","11.4","0.55","0.78","--","88.46","50","14.73","25.68","49.29","27.77","47.77"
"Ben Lovejoy","9-10","PIT","D","12","164.57","--","3","3","1","1.09","0.36","3.75","1.37","135","150","-15","47.37","-4.96","11","2","9","4.94","6.67","-1.73","42.55","-6.76","1","1","--","23","8.39","0.42","0.15","--","113.85","59.78","30.33","26.88","51.4","28.47","48.56"
"Ben Maxwell","9-10","MTL","C","13","112.7","--","--","--","--","--","--","-2.5","-1.33","75","123","-48","37.88","-10.34","2","4","-2","2.21","6.5","-4.29","25.37","-25.53","2","--","-2","13","6.92","0.45","0.24","--","99.93","58.93","17.76","28.7","46.93","28.59","49.61"
"Benn Ferriero","9-10","S.J","C/R","24","248","2","2","4","3","0.97","0.73","8.69","2.1","222","183","39","54.81","5.71","9","4","5","8.13","7.48","0.65","52.08","0.96","3","5","2","61","14.76","2.24","0.54","5.41","103.46","51.54","22.25","28.79","51.12","28.83","49.07"
"Benoit Pouliot","9-10","MIN/ MTL","L","53","673.48","13","8","21","18","1.87","1.6","22.85","2.04","645","653","-8","49.69","3.31","31","21","10","27.85","29.38","-1.53","48.66","2.68","14","10","-4","143","12.74","7.78","0.69","14.44","102.42","48.54","27.33","31.18","47.2","29.42","49.76"
"Ben Walter","9-10","N.J","C","2","9.98","--","--","--","--","--","--","-0.07","-0.42","9","10","-1","47.37","-10.4","--","--","--","0.19","0.32","-0.13","37.25","-17.78","--","--","--","1","6.01","--","--","--","100","100","10.24","28.05","52.77","28.12","47.2"
"Bill Guerin","9-10","PIT","R","77","967.35","9","17","26","19","1.61","1.18","35.57","2.21","1010","868","142","53.78","3.09","45","45","--","39.45","33.92","5.53","53.77","3.04","20","11","-9","265","16.44","12.76","0.79","5.84","97.74","58.68","27.97","31.15","53.01","29.63","49.76"
"B J..crombeen","9-10","STL","R","79","796","6","7","13","10","0.98","0.75","10.7","0.81","641","717","-76","47.2","-4.84","21","25","-4","24.04","29.83","-5.79","44.63","-6.35","46","34","-12","175","13.19","7.43","0.56","5.83","99.5","46.15","22.55","29.75","50.61","29.01","50.15"
"Blair Betts","9-10","PHI","C","63","575.2","4","10","14","9","1.46","0.94","9.21","0.96","402","523","-121","43.46","-7.72","19","17","2","14.18","19.69","-5.51","41.87","-12.16","5","1","-4","100","10.43","3.89","0.41","7.27","102.11","38.78","20.45","28.28","49.96","28.47","49.91"
"Blair Jones","9-10","T.B","C","14","154.35","--","--","--","--","--","--","2.33","0.91","127","129","-2","49.61","0.83","2","6","-4","5.28","4.76","0.52","52.59","4.48","2","7","5","36","13.99","1.58","0.61","--","92.92","36.23","24.53","27.34","47.09","28.36","50.03"
"Blake Comeau","9-10","NYI","L","60","714.87","14","10","24","21","2.01","1.76","23.89","2.01","663","699","-36","48.68","1.06","33","36","-3","30.45","28.62","1.83","51.55","1.63","10","9","-1","178","14.94","9.36","0.79","12.84","99.2","47.61","26.2","29.62","47.52","29.13","49.83"
"Blake Wheeler","9-10","BOS","R","82","975.47","14","13","27","23","1.66","1.41","34.19","2.1","947","810","137","53.9","1.72","39","43","-4","38.9","31.97","6.93","54.89","3.67","18","10","-8","219","13.47","11.33","0.7","11.86","98.93","52.28","24.95","30.17","50.92","29.17","49.81"
"Bobby Butler","9-10","OTT","R","2","16.68","--","--","--","--","--","--","0.1","0.36","12","13","-1","48","-3.22","--","1","-1","0.44","0.35","0.09","55.7","14.14","--","1","1","4","14.39","0.1","0.36","--","90","42.86","16.87","28.73","51.33","27.62","48.39"
"Bobby Ryan","9-10","ANA","R","81","1176.13","21","17","38","30","1.94","1.53","50","2.55","1115","1013","102","52.4","7.6","63","46","17","48.76","46.98","1.78","50.93","7.73","13","25","12","332","16.94","15.69","0.8","11.67","102.41","54.97","31.77","32.03","46.57","29.6","50.22"
"Bobby Sanguinetti","9-10","NYR","D","5","51.62","--","--","--","--","--","--","1.62","1.88","59","36","23","62.11","14.32","2","2","--","2.41","1.76","0.65","57.79","10.4","1","1","--","12","13.95","0.29","0.34","--","96.93","55.17","23.44","27.15","49.96","27.93","49.48"
"Boris Valabik","9-10","ATL","D","23","257.7","--","2","2","--","0.47","--","5.95","1.39","246","200","46","55.16","4.69","10","8","2","10.35","9","1.35","53.49","7.61","10","9","-1","42","9.78","0.54","0.13","--","99.96","52.34","24.74","26.81","48.54","28.21","48.99"
"Boyd Gordon","9-10","WSH","C","36","263.88","3","5","8","5","1.82","1.14","9.93","2.26","232","209","23","52.61","0.3","10","9","1","8.92","7.53","1.39","54.22","3.48","5","2","-3","57","12.96","2.49","0.57","8.33","100.37","48.67","16.09","27.1","52.88","27.87","49.86"
"Boyd Kane","9-10","WSH","L","3","24.27","--","--","--","--","--","--","-0.35","-0.87","12","22","-10","35.29","-14.71","--","1","-1","0.42","0.65","-0.23","39.25","-15.78","--","1","1","3","7.42","0.21","0.52","--","91.67","50","18.57","26.22","53.42","28.07","51.19"
"Brad Boyes","9-10","STL","R","82","1043.07","10","18","28","19","1.61","1.09","32.67","1.88","989","955","34","50.87","0.04","50","43","7","41.23","41.81","-0.58","49.65","0.06","8","11","3","246","14.15","12.21","0.7","7.3","101.38","50.08","28.47","29.85","50.68","29.19","49.95"
"Brad Lukowich","9-10","VAN","D","13","127.8","1","1","2","1","0.94","0.47","2.08","0.98","112","127","-15","46.86","-5.95","8","3","5","5.3","4.01","1.29","56.93","7.02","2","--","-2","9","4.23","0.15","0.07","100","108.86","33.33","21.62","27.54","51.17","28.39","49.44"
"Brad Marchand","9-10","BOS","C","20","211.95","--","1","1","1","0.28","0.28","3.21","0.91","200","181","19","52.49","-2.1","3","6","-3","7.46","7.96","-0.5","48.38","-4.77","6","5","-1","42","11.89","1.94","0.55","--","96.98","50","21.64","29.23","52.07","28.86","49.39"
"Brad May","9-10","DET","L","40","278.02","--","1","1","1","0.22","0.22","0.89","0.19","224","245","-21","47.76","-6.49","5","10","-5","8.87","9.43","-0.56","48.47","-4.07","16","15","-1","43","9.28","2.32","0.5","--","96.41","65.03","14.93","26.3","52.54","27.02","49.33"
"Brad Richards","9-10","DAL","C","79","1121.25","8","37","45","36","2.41","1.93","34.66","1.85","1024","1151","-127","47.08","-1.35","57","59","-2","42.07","44.78","-2.71","48.44","0.05","7","3","-4","259","13.86","10.08","0.54","5.63","101.19","47.91","30.56","30.98","47.39","29.5","50.06"
"Brad Richardson","9-10","L.A","R","81","872.17","10","13","23","17","1.58","1.17","28.07","1.93","766","740","26","50.86","0.29","34","35","-1","31.74","30.99","0.75","50.6","-0.43","12","18","6","226","15.55","11.34","0.78","7.69","99.24","48.15","23.44","28.93","48.94","28.65","49.74"
"Brad Staubitz","9-10","S.J","R","46","279.25","3","2","5","4","1.07","0.86","1.96","0.42","186","212","-26","46.73","-6.46","8","8","--","6.95","8.47","-1.52","45.07","-10.15","32","17","-15","42","9.02","2.42","0.52","12.5","101.82","54.78","13.3","26.69","50.76","26.88","49.14"
"Brad Stuart","9-10","DET","D","82","1447.98","2","12","14","6","0.58","0.25","25.71","1.07","1375","1267","108","52.04","-3.24","43","59","-16","54.5","53.93","0.57","50.26","-3.72","8","14","6","254","10.53","5.67","0.23","1.79","97.91","54.58","37.56","27.09","54.59","29.03","49.89"
"Brad Winchester","9-10","STL","L","64","535.8","2","4","6","6","0.67","0.67","7.96","0.89","446","436","10","50.57","-0.49","17","14","3","18.57","17.52","1.05","51.45","2.22","32","19","-13","94","10.53","5.14","0.58","3.64","100.85","55.31","18.68","28.49","50.47","27.89","49.63"
