year,team,blocks_at_ES,hits_at_ES,faceoff_win_percentage,give_aways,take_aways,win_percent_lead_1P,win_percent_lead_2P,win_percent_trail_1P,win_percent_trail_2P,ot_losses_lead_1P,ot_losses_lead_2P
2010,San Jose Sharks,12.75,23.21,48.8,0.11060975609756098,0.08219512195121952,0.821,0.878,0.391,0.192,0.04878048780487805,0.06097560975609756
2010,Pittsburgh Penguins,14.19,25.86,49.2,0.08573170731707318,0.05634146341463415,0.769,0.848,0.261,0.242,0.036585365853658534,0.024390243902439025
2010,Montreal Canadiens,16.07,18.44,51.1,0.11975609756097562,0.08195121951219513,0.633,0.839,0.306,0.121,0.036585365853658534,0.036585365853658534
2010,Boston Bruins,11.59,23.07,52.4,0.06609756097560976,0.05621951219512195,0.731,0.786,0.226,0.103,0.04878048780487805,0.024390243902439025
2010,Vancouver Canucks,11.96,18.08,51.5,0.07890243902439024,0.08390243902439025,0.839,0.97,0.357,0.314,0.012195121951219513,0
2010,Edmonton Oilers,15.67,18.8,51.5,0.1430487804878049,0.07963414634146342,0.778,0.81,0.162,0.098,0.024390243902439025,0.024390243902439025
2010,Atlanta Thrashers,12.86,17.67,49.9,0.09012195121951219,0.12024390243902439,0.75,0.826,0.156,0.1,0.024390243902439025,0.04878048780487805
2010,New York Rangers,14.18,28.09,48.1,0.06292682926829268,0.08707317073170731,0.692,0.842,0.296,0.036,0.04878048780487805,0.06097560975609756
2010,Chicago Blackhawks,12.77,18.61,50.9,0.0775609756097561,0.09963414634146342,0.714,0.897,0.385,0.269,0.07317073170731707,0.036585365853658534
2010,Buffalo Sabres,11.97,16.68,50.8,0.1124390243902439,0.07036585365853658,0.778,1,0.259,0.194,0.024390243902439025,0
2010,Calgary Flames,12.79,20.58,49.3,0.10243902439024391,0.0852439024390244,0.714,0.868,0.174,0.107,0.04878048780487805,0.036585365853658534
2010,Carolina Hurricanes,14.13,25.71,49.7,0.07585365853658536,0.09573170731707317,0.778,0.818,0.133,0.063,0.012195121951219513,0.036585365853658534
2010,Detroit Red Wings,10.93,23.59,48.6,0.11012195121951218,0.08451219512195121,0.643,0.824,0.4,0.161,0.06097560975609756,0.04878048780487805
2010,Minnesota Wild,13.17,20.97,52.6,0.08414634146341464,0.0676829268292683,0.741,0.875,0.133,0.184,0.036585365853658534,0.024390243902439025
2010,Anaheim Ducks,11.32,24.62,49.3,0.08939024390243902,0.06548780487804878,0.742,0.743,0.333,0.258,0.036585365853658534,0.08536585365853659
2010,Nashville Predators,12.09,17.06,50.1,0.10792682926829268,0.09926829268292683,0.958,0.871,0.476,0.095,0,0
2010,New Jersey Devils,11.58,19.24,49.2,0.09036585365853658,0.07085365853658536,0.813,0.943,0.321,0.154,0.036585365853658534,0.012195121951219513
2010,Toronto Maple Leafs,14.61,21.31,48.2,0.10317073170731708,0.08463414634146342,0.632,0.818,0.278,0.048,0.024390243902439025,0.024390243902439025
