Year,Up.To.Round,Team,CF.Playoff,CA.Playoff,FenFor.Playoff,FenAga.Playoff,SCF.Playoff,SCA.Playoff,HDCF.Playoff,HDCA.Playoff,SavePercentage.Playoff,PDO.Playoff,xGF.Playoff,xGA.Playoff
2010,finals,Ottawa Senators,48.98,62.58,36.69,43.77,19.18,26.45,39.13,15.52,1.3,1.68,1.83,2.17
2010,finals,Pittsburgh Penguins,63.22,47.86,44.91,34.7,26.04,18.13,51.28,12.27,1.38,1.1,2.24,1.63
2010,finals,Colorado Avalanche,41.44,68.86,31.75,49.28,17.94,29.69,46.67,12.07,1.03,1.44,1.44,2.3
2010,finals,San Jose Sharks,61.8,53.77,44.13,39.48,27.98,23.25,43.9,8.96,1.18,0.93,2.21,1.87
2010,finals,Nashville Predators,50.69,56.23,36.52,41.84,23.24,28.78,50,11.48,0.89,1.11,1.9,2.21
2010,finals,Chicago Blackhawks,56.82,54.65,42.61,38.68,27.36,24.88,56.82,11.47,1.28,1.12,2.21,2.05
2010,finals,Los Angeles Kings,49.51,61.37,36.82,45.77,22.88,27.46,21.05,6.06,0.83,1.25,1.76,2.05
2010,finals,Vancouver Canucks,59.23,51.66,43.45,39.99,27.13,25.51,60.98,17.36,1.62,1.41,2.15,2.1
2010,finals,Detroit Red Wings,61.09,53.82,46.66,42.09,26.15,25.09,52.63,14.6,1.64,1.76,2.27,2.18
2010,finals,Phoenix Coyotes,51.69,59.42,41.79,46.34,22.38,23.77,50,13.7,1.78,1.98,2.1,2.16
2011,quarter-finals,New York Rangers,50.88,59.47,32.63,42.08,24.69,28.55,28.57,6.45,0.64,1.5,1.76,2.67
2011,quarter-finals,Washington Capitals,59.47,50.88,42.08,32.63,28.55,24.69,71.43,12.99,1.5,0.64,2.67,1.76
2011,quarter-finals,Buffalo Sabres,54.38,64.55,40.1,47.73,21.13,28.95,35,10.29,1.17,1.96,2.1,2.82
2011,quarter-finals,Philadelphia Flyers,64.55,54.38,47.73,40.1,28.95,21.13,65,13.83,1.96,1.17,2.82,2.1
2011,quarter-finals,Montreal Canadiens,54.8,66.52,39.45,46.55,19.97,28.39,35,8.75,0.99,0.99,1.86,2.36
2011,quarter-finals,Boston Bruins,66.52,54.8,46.55,39.45,28.39,19.97,65,12.5,0.99,0.99,2.36,1.86
2011,quarter-finals,Tampa Bay Lightning,48.13,71.56,36.6,49.42,21.6,27.64,54.55,17.14,2.01,1.28,1.93,2.22
2011,quarter-finals,Pittsburgh Penguins,71.56,48.13,49.42,36.6,27.64,21.6,45.45,10.75,1.28,2.01,2.22,1.93
2011,quarter-finals,Chicago Blackhawks,49.06,59.21,38.58,42.74,20.29,25.45,52.17,15.79,1.33,1.16,2.02,2.01
2011,quarter-finals,Vancouver Canucks,59.21,49.06,42.74,38.58,25.45,20.29,47.83,13.1,1.16,1.33,2.01,2.02
2011,quarter-finals,Los Angeles Kings,52.18,66.83,37.33,48.68,20.63,31.97,45.83,17.19,1.86,1.86,1.89,2.75
2011,quarter-finals,San Jose Sharks,66.83,52.18,48.68,37.33,31.97,20.63,54.17,13.54,1.86,1.86,2.75,1.89
2011,quarter-finals,Phoenix Coyotes,57.97,63.27,43.72,51.34,27.49,32.46,16.67,4.17,0.33,1.99,2.1,2.58
2011,quarter-finals,Detroit Red Wings,63.27,57.97,51.34,43.72,32.46,27.49,83.33,16.95,1.99,0.33,2.58,2.1
2011,quarter-finals,Nashville Predators,59.73,50.47,43.64,37.03,25.79,22.48,62.5,19.23,2.64,1.76,2.59,2.16
2011,quarter-finals,Anaheim Ducks,50.47,59.73,37.03,43.64,22.48,25.79,37.5,14.52,1.76,2.64,2.16,2.59
2011,semi-finals,New York Rangers,50.88,59.47,32.63,42.08,24.69,28.55,28.57,6.45,0.64,1.5,1.76,2.67
2011,semi-finals,Washington Capitals,62.31,51.16,43.42,34.89,27.68,25.71,48.28,11.76,1.44,1.71,2.52,1.96
2011,semi-finals,Buffalo Sabres,54.38,64.55,40.1,47.73,21.13,28.95,35,10.29,1.17,1.96,2.1,2.82
2011,semi-finals,Philadelphia Flyers,62.72,57.27,45.77,41.89,27.85,24.21,42.11,11.35,1.33,1.94,2.5,2.31
2011,semi-finals,Montreal Canadiens,54.8,66.52,39.45,46.55,19.97,28.39,35,8.75,0.99,0.99,1.86,2.36
2011,semi-finals,Boston Bruins,64.96,56.49,45.95,40.52,28.68,22.05,73.68,17.18,1.74,0.76,2.46,1.9
2011,semi-finals,Tampa Bay Lightning,49.35,69.87,37.25,48.04,23.61,27.17,62.16,18.55,2.49,1.3,2.05,2.24
2011,semi-finals,Pittsburgh Penguins,71.56,48.13,49.42,36.6,27.64,21.6,45.45,10.75,1.28,2.01,2.22,1.93
2011,semi-finals,Chicago Blackhawks,49.06,59.21,38.58,42.74,20.29,25.45,52.17,15.79,1.33,1.16,2.02,2.01
2011,semi-finals,Vancouver Canucks,57.52,47.48,40.93,34.82,25.83,19.9,51.52,10.69,0.96,0.87,1.94,1.81
2011,semi-finals,Los Angeles Kings,52.18,66.83,37.33,48.68,20.63,31.97,45.83,17.19,1.86,1.86,1.89,2.75
2011,semi-finals,San Jose Sharks,61.49,61,44.75,43.59,28.7,26.17,47.73,11.23,1.36,1.46,2.5,2.23
2011,semi-finals,Phoenix Coyotes,57.97,63.27,43.72,51.34,27.49,32.46,16.67,4.17,0.33,1.99,2.1,2.58
2011,semi-finals,Detroit Red Wings,66.87,57.17,49.95,42.14,31.6,26.39,68.75,13.92,1.42,0.71,2.55,2.22
2011,semi-finals,Nashville Predators,52.09,53.29,36.57,38.07,22.34,24.54,55.88,14.29,1.4,1.2,2.04,1.99
2011,semi-finals,Anaheim Ducks,50.47,59.73,37.03,43.64,22.48,25.79,37.5,14.52,1.76,2.64,2.16,2.59
2011,finals,New York Rangers,50.88,59.47,32.63,42.08,24.69,28.55,28.57,6.45,0.64,1.5,1.76,2.67
