"player","position","season","Team","GP","TOI","G_60","A1_60","A2_60","Points_60","iSF_60","iFF_60","iCF_60","ixG_60","Sh_perc","F_Sh_perc","xFSH_perc","iBLK_60","iHF_60","iHA_60","GIVE_60","TAKE_60","iPENT2_60","iPEND2_60","iPENT5_60","iPEND5_60","FOW","FOL","FO_diff"
"ERIK.CHRISTENSEN","F","20112012","MIN",28,293.62,0.61,0,0.2,0.82,5.11,6.54,9.81,0.29,12,9.38,4.47,0.61,2.66,1.84,1.63,1.43,0.2,0.41,0,0,82,77,5
"ERIK.CHRISTENSEN","F","20112012","NYR",20,133.65,0,0.45,0.45,0.9,3.14,4.94,7.18,0.3,0,0,6,0.45,5.39,1.8,1.35,1.8,0.45,0,0,0,47,47,0
"ERIK.COLE","F","20112012","MTL",82,1212.63,1.14,0.54,0.54,2.23,9.45,12.22,16.53,0.91,12.04,9.31,7.47,1.39,8.41,5.39,1.34,1.63,0.84,1.24,0,0,15,25,-10
"ERIK.CONDRA","F","20112012","OTT",80,901.73,0.33,0.53,0.33,1.2,7.45,10.38,13.31,0.61,4.46,3.21,5.91,2.79,0.93,7.59,1.13,2.4,0.67,0.67,0,0,8,7,1
"ERIK.GUDBRANSON","D","20112012","FLA",72,960.73,0.12,0.19,0.12,0.44,4.31,6.68,9.56,0.13,2.9,1.87,1.96,4.31,9.24,9.37,1.06,0.19,1.06,0.62,0.31,0.31,0,0,0
"ERIK.GUSTAFSSON","D","20112012","PHI",30,475.65,0.13,0.38,0,0.5,2.14,4.04,7.06,0.09,5.88,3.12,2.25,4.04,1.14,7.82,1.51,0.76,0,0.38,0,0,0,0,0
"ERIK.JOHNSON","D","20112012","COL",73,1208.68,0.15,0.25,0.25,0.65,5.66,7.5,10.33,0.22,2.63,1.99,2.98,4.12,5.46,2.98,1.79,1.49,0.25,0.6,0.1,0.05,0,0,0
"ERIK.KARLSSON","D","20112012","OTT",80,1641.22,0.58,0.62,0.55,1.75,7.02,9.4,15.03,0.27,8.33,6.23,2.92,2.16,2.05,3.44,2.38,2.34,0.69,0.55,0,0,0,1,-1
"ETHAN.MOREAU","F","20112012","L.A",28,270.37,0.22,0.44,0.22,0.89,6.44,8.21,11.76,0.39,3.45,2.7,4.76,1.33,10.65,3.99,0.89,0.44,1.33,0.44,0,0,2,1,1
"EVANDER.KANE","F","20112012","WPG",74,1106.45,1.14,0.65,0.6,2.39,13.18,17.3,20.93,1.22,8.64,6.58,7.03,1.57,8.68,8.51,0.76,1.74,0.87,1.36,0.05,0.05,13,24,-11
"EVGENI.MALKIN","F","20112012","PIT",75,1206.12,1.59,1.39,0.45,3.43,10.6,13.63,17.26,1.02,15.02,11.68,7.46,1.84,1.29,6.17,2.64,2.49,1.14,1.99,0,0,426,504,-78
"EVGENY.DADONOV","F","20112012","FLA",15,144.88,0.83,0.41,0,1.24,8.28,11.18,11.6,0.72,10,7.41,6.41,0.41,5.38,12.84,0.41,2.48,0.41,0.41,0,0,0,6,-6
"EVGENY.GRACHEV","F","20112012","STL",25,222.07,0.27,0.27,0.54,1.08,3.51,4.86,5.94,0.29,7.69,5.56,6,2.43,5.67,4.59,0.54,1.89,0,0.81,0,0,1,3,-2
"FEDOR.TYUTIN","D","20112012","CBJ",66,1169.17,0.15,0.21,0.26,0.62,4.05,5.23,8.01,0.16,3.8,2.94,3.14,3.64,4.21,5.23,0.77,0.56,0.98,0.56,0.05,0.05,0,0,0
"FILIP.KUBA","D","20112012","OTT",72,1300.23,0.14,0.18,0.51,0.83,2.72,3.92,6.55,0.09,5.08,3.53,2.19,5.54,1.71,1.8,2.12,0.78,0.51,0.09,0,0,0,0,0
"FRANCIS.BOUILLON","D","20112012","NSH",66,1073.85,0.22,0.11,0.28,0.61,1.96,3.18,5.75,0.2,11.43,7.02,6.3,3.3,5.48,4.19,1.45,1.23,0.67,0.45,0.06,0.06,0,0,0
"FRANCOIS.BEAUCHEMIN","D","20112012","ANA",82,1589.68,0.19,0.08,0.26,0.53,3.81,5.77,8.38,0.13,4.95,3.27,2.26,4.27,4.91,3.74,1.51,0.64,0.49,0.34,0.04,0.04,1,1,0
"FRANS.NIELSEN","F","20112012","NYI",82,1045.43,0.69,0.52,0.52,1.72,5.68,7.86,10.45,0.47,12.12,8.76,6.04,2.75,1.55,4.02,1.43,2.53,0.17,0.34,0,0,417,502,-85
"FRÉDÉRIC.ST-DENIS","D","20112012","MTL",17,212.8,0.28,0.28,0.28,0.85,2.82,3.67,6.48,0.15,10,7.69,4.15,4.79,1.97,7.33,2.26,1.13,0.85,0,0,0,0,0,0
"GABRIEL.BOURQUE","F","20112012","NSH",43,539.35,0.78,0.44,0.78,2,6.45,7.79,10.23,0.6,12.07,10,7.66,2.11,7.23,8.68,1,2.22,0.22,0.11,0,0,0,1,-1
"GABRIEL.LANDESKOG","F","20112012","COL",82,1209.62,0.74,0.45,0.55,1.74,10.42,13.05,16.02,0.78,7.14,5.7,6.01,2.18,9.97,5.65,1.29,2.03,0.69,0.55,0.05,0.05,3,19,-16
"GEORGE.PARROS","F","20112012","ANA",46,291.32,0.21,0.62,0,0.82,3.5,4.94,5.97,0.28,5.88,4.17,5.67,3.3,11.74,7.41,1.65,1.03,2.27,1.44,1.85,1.85,0,0,0
"GILBERT.BRULE","F","20112012","ARI",31,323.77,0.56,0.93,0.74,2.22,8.9,12.05,13.9,0.78,6.25,4.62,6.49,2.22,10.01,9.27,0.93,1.85,0.19,0.74,0,0,8,10,-2
