"player","position","season","Team","GP","TOI","TOI_GP","TOI_perc","OZS","NZS","DZS","OZS_perc","NZS_perc","DZS_perc","ZS_rate"
"ALEX.PICARD","D","20072008","T.B",20,344.53,17.23,36.13,92,116,97,30.16,38.03,31.8,48.68
"ALEX.RADULOV","F","20072008","NSH",81,1034.4,12.77,28.22,303,342,166,37.36,42.17,20.47,64.61
"ALEX.SEMIN","F","20072008","WSH",63,772.07,12.26,26.08,241,239,167,37.25,36.94,25.81,59.07
"ALEX.STEEN","F","20072008","TOR",76,976.53,12.85,28.72,246,363,241,28.94,42.71,28.35,50.51
"ALEX.TANGUAY","F","20072008","CGY",77,1049.93,13.64,30.09,331,462,276,30.96,43.22,25.82,54.53
"ALLAN.ROURKE","D","20072008","EDM",13,137.05,10.54,23.62,34,49,49,25.76,37.12,37.12,40.96
"ANDERS.ERIKSSON","D","20072008","CGY",60,959.88,16,34.72,288,314,219,35.08,38.25,26.67,56.8
"ANDREAS.KARLSSON","F","20072008","T.B",58,430.17,7.42,15.48,84,136,95,26.67,43.17,30.16,46.93
"ANDREAS.LILJA","D","20072008","DET",79,1184.82,15,32.97,358,425,241,34.96,41.5,23.54,59.77
"ANDREI.KOSTITSYN","F","20072008","MTL",78,949.53,12.17,26.61,247,349,249,29.23,41.3,29.47,49.8
"ANDREI.MARKOV","D","20072008","MTL",82,1319.87,16.1,35.27,325,517,450,25.15,40.02,34.83,41.94
"ANDREI.ZYUZIN","D","20072008","CHI",32,366.2,11.44,25.35,81,126,94,26.91,41.86,31.23,46.29
"ANDREJ.MESZAROS","D","20072008","OTT",82,1303.6,15.9,34.7,401,484,323,33.2,40.07,26.74,55.39
"ANDREJ.SEKERA","D","20072008","BUF",37,596.53,16.12,35.51,160,236,143,29.68,43.78,26.53,52.81
"ANDRE.ROY","F","20072008","T.B",63,333.1,5.29,11.18,71,109,74,27.95,42.91,29.13,48.97
"ANDREW.ALBERTS","D","20072008","BOS",35,606.65,17.33,37.08,143,211,178,26.88,39.66,33.46,44.55
"ANDREW.BRUNETTE","F","20072008","COL",82,991.85,12.1,25.7,241,336,214,30.47,42.48,27.05,52.97
"ANDREW.COGLIANO","F","20072008","EDM",82,876.85,10.69,23.09,183,291,172,28.33,45.05,26.63,51.55
"ANDREW.FERENCE","D","20072008","BOS",59,1005.65,17.04,36.52,254,379,257,28.54,42.58,28.88,49.71
"ANDREW.LADD","F","20072008","CAR",43,437.67,10.18,22.22,126,183,115,29.72,43.16,27.12,52.28
"ANDREW.LADD","F","20072008","CHI",20,245.03,12.25,26.17,56,70,69,28.72,35.9,35.38,44.8
"ANDREW.MURRAY","F","20072008","CBJ",39,399.53,10.24,22.53,78,142,126,22.54,41.04,36.42,38.24
"ANDREW.PETERS","F","20072008","BUF",44,136.33,3.1,6.73,48,50,20,40.68,42.37,16.95,70.59
"ANDY.GREENE","D","20072008","N.J",59,878.38,14.89,32.66,218,305,170,31.46,44.01,24.53,56.19
"ANDY.HILBERT","F","20072008","NYI",70,731,10.44,22.89,160,295,224,23.56,43.45,32.99,41.67
"ANDY.MCDONALD","F","20072008","ANA",33,420.18,12.73,28.71,136,150,94,35.79,39.47,24.74,59.13
"ANDY.MCDONALD","F","20072008","STL",49,692.75,14.14,30.21,161,242,150,29.11,43.76,27.12,51.77
"ANDY.SUTTON","D","20072008","NYI",58,807.13,13.92,30.99,187,283,218,27.18,41.13,31.69,46.17
"ANDY.WOZNIEWSKI","D","20072008","TOR",48,531.18,11.07,25.04,130,184,113,30.44,43.09,26.46,53.5
"ANTHONY.STEWART","F","20072008","FLA",26,151.63,5.83,12.78,28,43,50,23.14,35.54,41.32,35.9
"ANTOINE.VERMETTE","F","20072008","OTT",81,992.13,12.25,26.69,242,383,298,26.22,41.5,32.29,44.81
"ANTON.STRALMAN","D","20072008","TOR",50,546,10.92,24.05,134,165,111,32.68,40.24,27.07,54.69
"ANTON.VOLCHENKOV","D","20072008","OTT",66,1062.92,16.1,35.21,241,454,267,25.05,47.19,27.75,47.44
"ANTTI.MIETTINEN","F","20072008","DAL",69,765.88,11.1,24.37,209,268,118,35.13,45.04,19.83,63.91
"ANZE.KOPITAR","F","20072008","L.A",82,1229.22,14.99,32.51,287,436,281,28.59,43.43,27.99,50.53
"ARRON.ASHAM","F","20072008","N.J",77,580.37,7.54,16.54,128,174,110,31.07,42.23,26.7,53.78
"BARRET.JACKMAN","D","20072008","STL",78,1330.93,17.06,37.13,283,481,393,24.46,41.57,33.97,41.86
"BATES.BATTAGLIA","F","20072008","TOR",13,56.9,4.38,10.13,17,20,8,37.78,44.44,17.78,68
"BEN.EAGER","F","20072008","CHI",9,52.78,5.86,13.86,20,20,9,40.82,40.82,18.37,68.97
"BEN.EAGER","F","20072008","PHI",23,116.1,5.05,12.2,21,41,28,23.33,45.56,31.11,42.86
"BEN.GUITE","F","20072008","COL",79,794.03,10.05,21.33,162,257,281,23.14,36.71,40.14,36.57
"BENOIT.POULIOT","F","20072008","MIN",11,85.25,7.75,16.54,17,32,21,24.29,45.71,30,44.74
"BILL.GUERIN","F","20072008","NYI",81,1079.88,13.33,29.17,286,447,321,27.13,42.41,30.46,47.12
"BILL.THOMAS","F","20072008","ARI",7,82.98,11.85,23.72,15,28,23,22.73,42.42,34.85,39.47
"B.J..CROMBEEN","F","20072008","DAL",8,52.55,6.57,15.03,19,16,7,45.24,38.1,16.67,73.08
"BLAIR.BETTS","F","20072008","NYR",75,654.55,8.73,18.91,156,248,153,28.01,44.52,27.47,50.49
"BLAKE.COMEAU","F","20072008","NYI",51,550.12,10.79,22.91,121,166,137,28.54,39.15,32.31,46.9
"BOBBY.ALLEN","D","20072008","BOS",19,167.17,8.8,18.32,42,52,49,29.37,36.36,34.27,46.15
"BOBBY.HOLIK","F","20072008","ATL",82,1044.77,12.74,27.04,225,350,555,19.91,30.97,49.12,28.85
"BOBBY.RYAN","F","20072008","ANA",23,195.65,8.51,19.01,56,56,25,40.88,40.88,18.25,69.14
"BORIS.VALABIK","D","20072008","ATL",7,99.02,14.15,32.02,17,31,34,20.73,37.8,41.46,33.33
"BOYD.DEVEREAUX","F","20072008","TOR",62,689.05,11.11,24.86,144,229,158,27.12,43.13,29.76,47.68
"BOYD.GORDON","F","20072008","WSH",67,752.12,11.23,24.22,203,298,292,25.6,37.58,36.82,41.01
"BRAD.BOYES","F","20072008","STL",82,1116.22,13.61,29.65,262,392,261,28.63,42.84,28.52,50.1
"BRAD.ISBISTER","F","20072008","VAN",55,543.65,9.88,22.11,112,210,134,24.56,46.05,29.39,45.53
"BRAD.LARSEN","F","20072008","ATL",62,523.13,8.44,18.04,113,192,175,23.54,40,36.46,39.24
"BRAD.LUKOWICH","D","20072008","T.B",59,823.72,13.96,29.6,202,262,205,30.19,39.16,30.64,49.63
"BRAD.MAY","F","20072008","ANA",60,382.9,6.38,14.37,102,144,73,31.97,45.14,22.88,58.29
"BRAD.RICHARDS","F","20072008","DAL",12,162.42,13.53,29.88,44,54,29,34.65,42.52,22.83,60.27
"BRAD.RICHARDS","F","20072008","T.B",62,999.52,16.12,33.91,297,307,266,34.14,35.29,30.57,52.75
"BRAD.RICHARDSON","F","20072008","COL",22,251.82,11.45,24.22,46,98,68,21.7,46.23,32.08,40.35
"BRAD.STUART","D","20072008","DET",9,143.62,15.96,35.78,43,52,24,36.13,43.7,20.17,64.18
"BRAD.STUART","D","20072008","L.A",63,939.2,14.91,32.83,288,333,241,33.41,38.63,27.96,54.44
"BRAD.WINCHESTER","F","20072008","DAL",41,286.83,7,15.87,82,91,56,35.81,39.74,24.45,59.42
